step,oirf,stdoirf,irfname,response,impulse,ub95,ub68,lb95,lb68
0,0,0,irfs_small,gdp,rd,0,0,0,0
0,.0421287928386768,.0054617430367297,irfs_small,rd,rd,.05283381,.047563229,.031423777,.036694359
0,0,0,irfs_small,tfp,rd,0,0,0,0
1,.0013703973893923,.0009203764846341,irfs_small,gdp,rd,.0031743352,.002286172,-.00043354052,.00045462279
1,.0367536643447773,.0050899059028855,irfs_small,rd,rd,.046729881,.04181812,.026777448,.031689208
1,.0013334095695601,.0005112038611792,irfs_small,tfp,rd,.0023353691,.0018420574,.00033144999,.00082476175
2,.0025529060354744,.0015918092687739,irfs_small,gdp,rd,.005672852,.0041367561,-.00056704012,.00096905581
2,.0316221613839582,.0051963679823625,irfs_small,rd,rd,.041807044,.036792547,.02143728,.026451776
2,.0023926377012969,.0008533376324763,irfs_small,tfp,rd,.0040651793,.0032417087,.00072009594,.0015435667
3,.0035511984597382,.0020866411263277,irfs_small,gdp,rd,.0076410151,.0056274063,-.00053861813,.0014749905
3,.0268355409004097,.0053531733405741,irfs_small,rd,rd,.037327759,.032161947,.016343322,.021509133
3,.0032053994448313,.0010903444440534,irfs_small,tfp,rd,.0053424747,.004290292,.0010683243,.0021205067
4,.0043738021146578,.0024552676861832,irfs_small,gdp,rd,.0091861272,.0068167932,-.00043852255,.0019308107
4,.0224620057425251,.0054394940705103,irfs_small,rd,rd,.033123415,.027874302,.011800597,.017049709
4,.0038008197486427,.0012600211164524,irfs_small,tfp,rd,.0062704613,.0050545409,.0013311784,.0025470988
5,.0050327588650022,.0027323638162572,irfs_small,gdp,rd,.010388192,.0077514607,-.00032267423,.002314057
5,.0185419567760459,.0054534848680588,irfs_small,rd,rd,.029230786,.023968175,.0078531262,.013115739
5,.0042082267571922,.0013834579956551,irfs_small,tfp,rd,.0069198045,.0055847676,.0014966491,.0028316861
6,.0055424745270715,.0029414702192502,irfs_small,gdp,rd,.011307756,.008469237,-.00022280711,.0026157117
6,.0150929307882638,.0054214270354063,irfs_small,rd,rd,.025718927,.020487251,.0044669337,.0096986108
6,.0044562069957646,.0014720862479369,irfs_small,tfp,rd,.0073414962,.0059209326,.0015709179,.0029914812
7,.0059187515243591,.0030984805239051,irfs_small,gdp,rd,.011991774,.0090017393,-.0001542703,.0028357634
7,.0121141425386872,.0053668816424538,irfs_small,rd,rd,.02263323,.01745419,.0015950545,.0067740954
7,.0045718932338533,.0015324435893592,irfs_small,tfp,rd,.0075754826,.0060966746,.0015683038,.0030471119
8,.0061779936437985,.0032142485508848,irfs_small,gdp,rd,.01247792,.009376171,-.00012193352,.0029798164
8,.0095905795942383,.0053032210824147,irfs_small,rd,rd,.019984894,.014867284,-.00080373371,.0043138745
8,.0045804551710535,.0015689918357094,irfs_small,tfp,rd,.0076556792,.0061416021,.0015052311,.0030193082
9,.0063365690455814,.0032964482863745,irfs_small,gdp,rd,.012797608,.0096165352,-.00012446959,.003056603
9,.0074966237165724,.0052346994695941,irfs_small,rd,rd,.017756635,.01270515,-.0027633873,.0022880977
9,.0045047635020626,.0015855271658982,irfs_small,tfp,rd,.007612397,.006082363,.0013971303,.0029271641
10,.0064103159021498,.003350819583223,irfs_small,gdp,rd,.012977922,.0097443815,-.00015729049,.0030762504
10,.0057991929196873,.0051600561481741,irfs_small,rd,rd,.015912903,.010933449,-.0043145171,.00066493708
10,.0043651991414496,.0015857213525157,irfs_small,tfp,rd,.0074732131,.0059429919,.0012571852,.0027874063
11,.0064141741387462,.0033819433403736,irfs_small,gdp,rd,.013042783,.0097792074,-.00021443481,.0030491406
11,.0044604143252452,.0050760056909455,irfs_small,rd,rd,.014409386,.0095110396,-.0054885568,-.00059021136
11,.004179581206501,.0015732014769129,irfs_small,tfp,rd,.007263056,.0057449169,.0010961064,.0026142458
12,.0063619265523183,.0033936843785933,irfs_small,gdp,rd,.013013548,.0097386427,-.00028969484,.0029852106
12,.003439850084537,.0049796202422529,irfs_small,rd,rd,.013199906,.008394572,-.0063202055,-.0015148721
12,.0039631895800519,.001551428321628,irfs_small,tfp,rd,.0070039891,.0055068606,.00092239009,.0024195183
13,.006266032946397,.0033894190299392,irfs_small,gdp,rd,.012909294,.0096385051,-.00037722834,.002893561
13,.0026963073967235,.0048695145979132,irfs_small,rd,rd,.012240556,.0075414744,-.0068479413,-.0021488597
13,.0037288603463454,.0015235215788108,irfs_small,tfp,rd,.0067149624,.0052447645,.00074275804,.0022129563
14,.0061375417020924,.0033721364273232,irfs_small,gdp,rd,.012746929,.0094928173,-.00047184571,.0027822659
14,.0021892695153847,.0047461362713155,irfs_small,rd,rd,.011491696,.006911675,-.0071131578,-.0025331362
14,.003487134980856,.0014921090129692,irfs_small,tfp,rd,.0064116688,.0049717836,.00056260132,.0020024865
15,.0059860642918863,.0033444752053261,irfs_small,gdp,rd,.012541235,.0093138171,-.00056910713,.0026583115
15,.001879988063639,.0046115282179277,irfs_small,rd,rd,.010918584,.0064684586,-.0071586072,-.0027084826
15,.0032464467743207,.0014592352976449,irfs_small,tfp,rd,.006106548,.004698386,.00038634558,.0017945076
